	Brain_1	Call	p-value	Brain_2	Call	p-value	Fetal_brain_1	Call	p-value	Fetal_brain_2	Call	p-value	Fetal_liver_1	Call	p-value	Fetal_liver_2	Call	p-value	Liver_1	Call	p-value	Liver_2	Call	p-value
36977_at	1054.6	A	0.07	1728.37	P	0.01	117.64	A	0.56	537.49	A	0.34	1131.1	A	0.25	1382.19	A	0.15	2104.4	A	0.23	2212.54	A	0.12
36978_at	204.91	P	0.03	89.17	P	0	317.16	P	0	335.4	P	0	345.61	P	0	248.55	P	0	133.26	P	0.01	269.23	P	0.02
36979_at	1756.41	P	0	2202.08	P	0	1354.57	P	0	1251.25	P	0	1186.58	P	0	1211.65	P	0	233.92	A	0.4	260.48	A	0.34
36980_at	250.16	P	0	268.75	P	0	189.95	P	0.01	257.26	P	0	782.08	P	0	982.61	P	0	582.78	P	0	256.25	P	0.01
36981_at	2190.69	P	0	1312.3	P	0	3482.65	P	0	4379.7	P	0	976.03	P	0	1109.92	P	0	369.26	A	0.19	579.89	P	0.04
36982_at	1148.53	P	0	753.82	P	0	1430.4	P	0	1323.13	P	0	303.7	P	0.01	411.49	P	0.01	255.83	P	0.01	349.49	P	0.01
36983_f_at	22.52	A	0.99	33.46	A	0.84	21.84	A	0.98	23.56	A	0.98	30156.66	P	0	22265.71	P	0	36428.57	P	0	24633.3	P	0
36984_f_at	270.38	P	0.03	168.51	P	0.04	212.48	A	0.1	80.1	A	0.27	51726.93	P	0	31528.27	P	0	70669.2	P	0	43318.17	P	0
36985_at	1636.55	P	0	1413.58	P	0	2172.62	P	0	2364.01	P	0	2886.36	P	0	3320.35	P	0	464.06	A	0.07	482.09	A	0.19
36986_at	5240.63	P	0	5883.79	P	0	4114.16	P	0	3375.55	P	0	6413.32	P	0	5444.86	P	0	9801.96	P	0	6380.76	P	0
36987_at	885.11	P	0.02	981.47	P	0	1253.74	P	0	1055.13	P	0	1016.19	A	0.08	907.02	M	0.04	758.33	A	0.2	908.68	A	0.15
36988_at	690.53	P	0	921.61	P	0	621.08	P	0	705.32	P	0	725.36	P	0	763.54	P	0	1127.06	P	0	1077.15	P	0
36989_at	1053.59	P	0	1304.49	P	0	1157.55	P	0	1318.89	P	0	1009.75	P	0	1045.8	P	0	1321.21	P	0.01	1462.35	P	0.01
36990_at	8134.31	P	0	8445.13	P	0	6539.73	P	0	7525.15	P	0	37.18	A	0.95	28.47	A	0.86	18.97	A	0.99	25.51	A	0.96
36991_at	2061.75	P	0	1977.07	P	0	2395.85	P	0	1728.12	P	0	1804.02	P	0	1673.62	P	0	847.92	P	0	844.51	P	0.02
36992_at	2000.85	P	0	1892.4	P	0	2129.34	P	0	2507.77	P	0	2644.05	P	0	3597.47	P	0	3040.47	P	0	2042.58	P	0
36993_at	197.94	A	0.5	531.52	A	0.06	242.5	A	0.4	300.46	A	0.2	598.79	A	0.09	267.33	A	0.34	79.78	A	0.82	61.86	A	0.93
36994_at	11829.76	P	0	17324.93	P	0	5705.41	P	0	5243.1	P	0	6963.14	P	0	5752.89	P	0	4384.85	P	0	6634.91	P	0
36995_at	50.78	A	0.93	44.47	A	0.92	102.39	A	0.9	75.82	A	0.84	46637.66	P	0	28815.19	P	0	81360.91	P	0	39252.82	P	0
36996_at	4775.25	P	0	4939.73	P	0	3040.87	P	0	2630.41	P	0	5063.12	P	0	4644.08	P	0	7461.33	P	0	7174.24	P	0
36997_at	797.36	P	0.03	609.91	P	0.01	451.84	A	0.13	496.46	P	0.04	283.46	A	0.32	378.72	A	0.19	502.3	A	0.28	122.24	A	0.5
36998_s_at	721.45	P	0	968.26	P	0	1289.82	P	0	1243.27	P	0	323.87	P	0	496.05	P	0	389.77	P	0	624.22	P	0
36999_at	97.17	A	0.46	184.79	A	0.25	536.64	A	0.07	327.48	A	0.15	294.78	A	0.22	119.19	A	0.32	339.21	A	0.19	193.33	A	0.44
370_at	37.64	A	0.6	14.87	A	0.6	176.36	A	0.11	151.81	A	0.06	194.2	A	0.28	174.4	A	0.18	222.86	A	0.23	293.43	A	0.38
37000_at	1631.28	P	0	1618.61	P	0.01	1436.66	P	0	1683.25	P	0	2335.45	P	0	3492.26	P	0	2561.74	P	0	2753.11	P	0
37001_at	635.68	P	0	828.89	P	0	499.27	P	0	869.48	P	0	451.66	A	0.06	484.89	P	0.01	63.07	A	0.64	212.45	A	0.38
37002_at	480.97	M	0.05	651.63	P	0.02	372.2	A	0.18	116.78	A	0.38	13891.85	P	0	12221.28	P	0	5289.48	P	0	4325.74	P	0
37003_at	1368.01	P	0	1238.62	P	0	926.6	P	0	1204.29	P	0	2721.55	P	0	2596.52	P	0	3025.42	P	0	2887	P	0
37004_at	154.3	A	0.09	115.62	A	0.06	203.95	P	0.02	128.13	P	0.03	278.16	P	0.01	205.09	P	0	639.39	P	0	490.5	P	0
37005_at	4795.62	P	0	5663.08	P	0	1465.12	P	0	1871.1	P	0	1053.06	P	0.03	853.31	P	0.01	940.04	M	0.04	828.66	A	0.07
37006_at	16.07	A	0.91	28.01	A	0.5	11.86	A	0.99	5.03	A	0.96	54.33	A	0.6	8.51	A	0.91	80.79	A	0.34	185.28	A	0.19
37007_at	602.33	P	0	692.67	P	0	468.47	P	0	507.97	P	0	495.54	P	0	812.35	P	0	200.95	P	0.03	255.25	P	0.03
37008_r_at	14.54	A	0.98	5.7	A	0.97	13.75	A	0.86	10.88	A	0.82	1776.84	P	0	2236.56	P	0	1542.8	P	0	2140.4	P	0
37009_at	307.14	P	0	313.55	P	0	346.96	P	0	462.08	P	0	3701.86	P	0	4220.38	P	0	2938.21	P	0	3418.29	P	0
37010_at	685.46	P	0	418.36	P	0	574.09	P	0	833.01	P	0	359.95	P	0	473.14	P	0	246.14	P	0.01	288.56	P	0.01
37011_at	83.16	A	0.11	86.14	P	0.01	62.01	A	0.36	64.24	A	0.13	204.68	A	0.12	254.18	P	0.04	121.41	A	0.06	186.88	A	0.1
37012_at	1484.94	P	0	1915.53	P	0	1757.99	P	0	1830.98	P	0	1762.27	P	0	2080.07	P	0	1342.28	P	0	2076.68	P	0
37013_at	253.23	A	0.56	170.6	A	0.5	203.1	A	0.54	110.98	A	0.54	387.29	A	0.38	129.56	A	0.52	106.88	A	0.52	526.57	A	0.28
37014_at	257.9	A	0.2	361.03	P	0.02	107.1	A	0.6	39.72	A	0.64	52.84	A	0.8	42.18	A	0.75	153.83	A	0.46	222.2	A	0.38
37015_at	387.1	P	0	217.88	P	0	94.45	A	0.3	56.86	A	0.34	1271.58	P	0	1269.14	P	0	1663.76	P	0	2065.87	P	0
37016_at	1295.39	P	0.01	1276.12	P	0	422.41	A	0.13	748.92	A	0.07	2343.28	P	0	2379.15	P	0	10520.28	P	0	9439.37	P	0
37017_at	170.09	A	0.2	135.49	A	0.22	169.79	A	0.16	202.96	A	0.12	2032.16	P	0	2244.81	P	0	312.48	M	0.05	427.9	P	0.03
37018_at	16.61	A	0.93	26.27	A	0.5	14.26	A	0.92	17.54	A	0.77	680.85	P	0.01	1153.02	P	0	48.24	A	0.36	213.78	A	0.08
37019_at	9.61	A	0.96	2.65	A	1	9.36	A	0.92	3.47	A	1	33439.1	P	0	19348.66	P	0	14229.31	P	0	19803.85	P	0
37020_at	15.39	A	1	10.47	A	0.93	26.61	A	0.87	19.36	A	0.91	1478.46	P	0	1788.44	P	0	518.42	P	0.04	493.55	P	0.04
37021_at	1775.73	P	0	1879.98	P	0	423.98	P	0.03	332.56	A	0.06	967.82	P	0	899.31	P	0	1623.07	P	0	2131.16	P	0
37022_at	560.93	A	0.14	630.13	M	0.05	418.22	A	0.23	498.56	A	0.27	630.81	A	0.16	602.72	A	0.1	831.33	A	0.1	821.66	A	0.19
37023_at	35.93	A	0.84	50.25	A	0.56	30.58	A	0.87	15.16	A	0.92	557.48	P	0.02	743.39	P	0.01	458.03	P	0.04	523.18	A	0.08
37024_at	332.17	P	0	643.8	P	0	328.28	P	0	353.08	P	0	689.55	P	0	802.09	P	0	1045.63	P	0	3744.68	P	0
37025_at	845.75	P	0	753.22	P	0	876.16	P	0	1039.68	P	0	1414.36	P	0.01	1315.43	P	0.01	2665.19	P	0	2389.8	P	0
37026_at	695.57	A	0.08	650.57	P	0.02	2143.68	P	0	2293.15	P	0	2118.39	P	0	2199.41	P	0	596.96	A	0.1	1368.94	M	0.05
37027_at	1767.7	P	0	1542.84	P	0	698.64	P	0.01	931.63	P	0	2259.29	P	0	2226.8	P	0	2404.29	P	0	1599.57	P	0.01
37028_at	559.52	P	0.03	583.49	P	0	651.2	M	0.04	475.1	P	0.03	2476.33	P	0	2126.59	P	0	587.63	A	0.09	996.98	P	0.04
37029_at	2947.7	P	0	1571.76	P	0	2669.21	P	0	2719.1	P	0	2115.1	P	0	1908.29	P	0	1753.7	P	0	1124.34	P	0
37030_at	322.86	P	0	214.42	P	0.01	342.64	P	0	360.83	P	0	375.9	P	0.02	338.59	P	0	332.36	A	0.1	231.55	A	0.27
37031_at	330.73	P	0	337.25	P	0	352.49	P	0	289.36	P	0	375.42	P	0.01	534.2	P	0	347.83	P	0.01	667.12	P	0.01
37032_at	43.26	A	0.96	47.72	A	0.85	36.92	A	0.94	37.24	A	0.93	1471.25	P	0.02	1456.13	P	0.01	29044.06	P	0	20036.85	P	0
37033_s_at	2169.4	P	0	2712.42	P	0	1428.08	P	0	1503.33	P	0	4864.11	P	0	4770.04	P	0	5067.24	P	0	3976.69	P	0
37034_at	1224.24	P	0	1120.58	P	0	1623.08	P	0	1723.58	P	0	733.24	P	0	452.02	P	0	507.43	A	0.1	631.45	P	0.02
37035_at	539.94	P	0	390.18	P	0	689.52	P	0	755.26	P	0	1048.57	P	0	1184.72	P	0	648.71	P	0	753.78	P	0
37036_at	227.13	P	0	194.18	P	0	233.06	P	0.01	395.18	P	0	163.55	A	0.09	262.47	P	0	155.27	P	0.04	187.08	P	0.03
37037_at	335.94	P	0.01	152.91	M	0.05	447.58	M	0.05	415.79	P	0.01	820.97	P	0	1018.68	P	0	639.57	P	0.01	360.45	P	0.03
37038_at	469.36	P	0.01	418.91	P	0	689.17	P	0	1061.8	P	0	267.63	P	0	475.56	P	0	171.43	M	0.05	125.34	A	0.1
37039_at	2158.03	P	0	1488.7	P	0	400.81	P	0.02	254.83	P	0.02	4473.75	P	0	4560.69	P	0	7537.94	P	0	5860.42	P	0
37040_at	1319.41	P	0	1627.91	P	0	1227.52	P	0	1539.12	P	0	2527.56	P	0	2865.85	P	0	3698.77	P	0	3012.42	P	0
37041_at	447.17	A	0.06	556.9	P	0.01	266.89	A	0.36	425.82	A	0.2	133.36	A	0.7	62.06	A	0.66	97.43	A	0.8	116.79	A	0.89
37042_at	313.53	A	0.52	476.87	A	0.11	569.56	A	0.11	711.61	A	0.07	1025.79	P	0.03	1080.3	P	0.01	1613.77	A	0.11	1656.81	A	0.1
37043_at	1582.01	P	0	1593.92	P	0	877.58	P	0.01	916.9	P	0	1754.54	P	0.01	1876.91	P	0	3070.77	P	0	2294.79	P	0.01
37044_at	47.6	A	0.95	22.48	A	0.86	28.04	A	0.96	30.23	A	0.86	870.66	A	0.15	920.79	A	0.09	1043.37	A	0.09	1010.93	A	0.16
37045_at	274.7	P	0.01	258.17	P	0	262.98	P	0.03	293.26	P	0.01	281.77	M	0.05	232.94	P	0.04	167.2	A	0.19	201.62	A	0.25
37046_at	319.55	P	0.01	201.86	P	0.01	337.14	P	0	302.65	P	0	445.09	P	0.01	555.82	P	0	276.51	P	0.03	428.06	P	0
37047_at	1570.33	P	0	1671.62	P	0	702.14	P	0	760.99	P	0	809.43	P	0	1442.94	P	0	673.9	A	0.09	658.99	A	0.07
37048_at	610.47	A	0.27	574.07	A	0.2	186.85	A	0.54	452.58	A	0.38	148.98	A	0.68	318.1	A	0.5	155.49	A	0.68	216.27	A	0.66
37049_g_at	2498.9	P	0.01	2624.42	P	0.01	1320.41	A	0.12	880.04	A	0.14	1625.31	A	0.08	1631.47	A	0.07	1428.15	A	0.11	1459.47	A	0.32
37050_r_at	359.22	P	0	451.13	P	0	233.1	P	0.02	191.52	P	0.02	300.82	P	0.02	338.37	P	0.01	276.8	P	0.02	377.65	P	0.04
37051_at	169.55	A	0.19	157.51	A	0.07	162.71	P	0.04	217.48	P	0.02	80.52	A	0.13	114.8	A	0.14	45.18	A	0.73	49.09	A	0.48
37052_at	17.97	A	0.64	64.75	A	0.3	55.12	A	0.6	57.79	A	0.56	177.74	A	0.38	104.55	A	0.28	61.37	A	0.52	226.61	A	0.28
37053_at	837.72	P	0	1462	P	0	963.94	P	0	1012.74	P	0	434.98	P	0.01	291.91	P	0	257.68	P	0	321.36	P	0.01
37054_at	181.32	P	0.03	108.63	P	0.04	156.37	A	0.06	175.57	M	0.04	478.71	P	0.01	454.27	P	0	247.59	M	0.05	429.7	M	0.05
37055_at	17.97	A	0.92	53.76	A	0.48	78.89	A	0.52	109.42	A	0.28	11.63	A	0.91	12.98	A	0.95	13.47	A	0.97	7.4	A	0.99
37056_at	29.77	A	0.78	11	A	0.89	155.82	A	0.2	207.25	A	0.18	160.8	A	0.44	131.72	A	0.28	42.37	A	0.77	44.21	A	0.78
37057_s_at	50.33	A	0.62	47.86	A	0.48	116.62	A	0.62	50.42	A	0.66	51.95	A	0.9	32.98	A	0.81	46.07	A	0.75	31.87	A	0.86
37058_at	21.47	A	0.93	6.47	A	0.98	14.3	A	0.93	11.48	A	0.77	379.26	A	0.16	733.84	P	0.01	872.43	P	0.01	1631.65	P	0.02
37059_at	28.95	A	0.99	19.07	A	0.97	21.21	A	0.99	13.94	A	0.98	140.97	A	0.54	173.66	A	0.22	925.64	P	0	646.54	P	0.04
37060_at	925.79	P	0	1095.52	P	0	432.56	P	0	420.17	P	0	297.71	P	0	194.77	P	0	165.49	P	0.03	264.75	P	0.01
37061_at	63.54	A	0.42	131.66	A	0.18	190.15	A	0.07	80.24	A	0.19	537.16	P	0.02	326.6	P	0.03	130.1	A	0.4	502.81	A	0.23
37062_at	1311.41	P	0	1049.96	P	0	1443.3	P	0	1581.33	P	0	24.63	A	0.87	61.19	A	0.72	8.27	A	0.84	25	A	0.75
37063_r_at	2.44	A	0.52	2.43	A	0.62	1.32	A	0.66	14.87	A	0.36	0.52	A	0.99	1.44	A	0.86	2.73	A	0.85	12.47	A	0.48
37064_at	36.51	A	0.64	15.84	A	0.52	86.98	A	0.48	81.38	A	0.27	32.32	A	0.81	23.21	A	0.82	118.95	A	0.46	41.27	A	0.73
37065_f_at	59.52	A	0.4	33.7	A	0.38	56.19	A	0.38	99.12	A	0.34	26.44	A	0.6	58.7	A	0.44	39.26	A	0.48	124.01	A	0.42
37066_at	25.96	A	1	18.6	A	0.99	34.33	A	0.96	27.4	A	0.98	4214.38	P	0	3620.94	P	0	41.59	A	0.99	43.88	A	0.99
37067_at	262.84	P	0.01	194.28	P	0	367.47	P	0	378.32	P	0	238.94	M	0.05	131.28	P	0.01	138.72	A	0.06	235.34	P	0.04
37068_at	17.1	A	0.81	9.18	A	0.73	71.65	A	0.38	23.65	A	0.58	22.63	A	0.52	73.69	A	0.07	27.93	A	0.66	16.63	A	0.6
37069_at	226.63	A	0.36	379.48	A	0.07	500.2	A	0.15	389.06	A	0.25	127.08	A	0.68	86.74	A	0.82	125.8	A	0.87	119.73	A	0.88
37070_at	249.4	A	0.19	212.39	P	0.04	305.15	P	0.01	203.72	A	0.1	76.63	A	0.46	222	P	0.04	155.18	A	0.58	329.51	A	0.18
37071_at	51.61	A	0.84	103.07	A	0.56	61.63	A	0.78	23.83	A	0.94	43.59	A	0.87	50.28	A	0.77	47.02	A	0.85	54.4	A	0.75
37072_at	71.89	A	0.98	52.44	A	0.99	107.17	A	0.75	107.26	A	0.8	86.95	A	0.95	63.94	A	0.95	73.9	A	0.98	47.57	A	0.99
37073_at	108.46	A	0.12	36.79	P	0.01	153.65	P	0.04	82.05	P	0.02	48.25	A	0.73	35.68	A	0.4	90.5	A	0.36	99.9	A	0.18
37074_at	59.11	A	0.54	16.35	A	0.77	49.91	A	0.42	179.08	A	0.14	127.67	A	0.4	216.65	A	0.13	132.23	A	0.34	142.15	A	0.28
37075_at	64.08	A	0.56	24.43	A	0.66	146.21	A	0.4	28.54	A	0.78	156.54	A	0.4	138.98	A	0.32	100.12	A	0.6	102.29	A	0.58
37076_at	36.87	A	0.97	45.21	A	0.7	39.85	A	0.78	39.53	A	0.91	77.3	A	0.73	118.33	A	0.46	69.51	A	0.78	62.8	A	0.82
37077_at	312.36	A	0.16	171.96	A	0.27	391.86	A	0.11	376.2	M	0.04	679.33	P	0	819.74	P	0	3058.17	P	0	2587.65	P	0
37078_at	135.96	A	0.44	72.17	A	0.3	242.99	A	0.09	255.07	P	0.03	49.28	A	0.54	178.54	A	0.3	389.48	P	0.02	143.61	A	0.44
37079_at	79.12	A	0.14	54.66	A	0.13	112.45	A	0.15	153.69	M	0.05	96.68	A	0.11	76.14	A	0.16	23.39	A	0.58	47.4	A	0.38
37080_at	125.46	A	0.4	99.63	A	0.1	130.22	A	0.11	75.39	A	0.28	144.67	A	0.23	142.28	A	0.06	243.67	A	0.1	422.27	P	0.04
37081_at	67.15	A	0.54	85.22	A	0.58	275.85	A	0.27	127.45	A	0.44	34.93	A	0.89	23.46	A	0.86	39.38	A	0.88	142.92	A	0.85
37082_at	138.1	A	0.12	163.09	A	0.08	280.65	A	0.09	163.57	M	0.05	235.96	A	0.15	247.7	P	0.02	262.05	M	0.05	444.03	P	0.04
37083_s_at	13.7	A	0.8	8.63	A	0.66	13.34	A	0.86	6.56	A	0.94	31.5	A	0.64	2.06	A	0.97	15.22	A	0.77	21.04	A	0.81
37084_at	92.2	A	0.64	87.94	A	0.52	99.94	A	0.6	122.39	A	0.58	128.92	A	0.6	244.12	A	0.58	475.03	A	0.4	712.56	A	0.52
37085_g_at	455.21	M	0.05	275.84	A	0.07	582.99	A	0.07	334.94	A	0.07	127.92	A	0.28	297.53	A	0.09	259.45	A	0.13	613.56	A	0.18
37086_at	22.7	A	0.8	4.32	A	0.92	9.07	A	0.92	5.09	A	0.98	14.15	A	0.87	12.78	A	0.91	9.95	A	0.81	18.17	A	0.84
37087_at	15.73	A	0.96	11.51	A	0.98	17.62	A	0.9	16.66	A	0.96	51.18	A	0.8	18.2	A	0.96	39.49	A	0.98	35.51	A	0.98
37088_at	219.25	A	0.42	312.91	A	0.28	598.28	A	0.14	300.43	A	0.25	432.13	A	0.28	741.92	A	0.13	556.8	A	0.22	793.59	A	0.09
37089_at	22.02	A	0.95	17.33	A	0.91	31.56	A	0.9	25.77	A	0.92	40.69	A	0.85	38.25	A	0.88	26.93	A	0.98	37.34	A	0.96
37090_at	15.13	A	0.88	5.13	A	0.75	9.7	A	0.96	18.03	A	0.72	32.19	A	0.88	7.24	A	0.86	9.05	A	0.92	5.87	A	0.99
37091_g_at	6.52	A	0.99	8.3	A	0.62	4.74	A	0.99	6.89	A	0.92	4.84	A	0.99	7.13	A	0.73	12.57	A	0.8	6.95	A	0.82
37092_at	194.9	A	0.08	123.11	A	0.3	353.19	P	0.01	407.85	P	0	332.2	A	0.12	146.97	P	0.04	124.73	A	0.3	349.82	A	0.08
37093_at	61.93	A	0.28	64.68	A	0.06	56.59	A	0.42	65.55	A	0.25	25.95	A	0.92	20.38	A	0.58	75.24	A	0.54	25.63	A	0.82
37094_at	73.08	A	0.77	43.44	A	0.78	87.14	A	0.73	22.87	A	0.93	96.06	A	0.62	204.68	A	0.5	85.57	A	0.78	104.84	A	0.81
37095_r_at	685.1	P	0.03	674.25	P	0.02	354.93	M	0.04	372.27	M	0.05	668.29	P	0.04	534.77	P	0.01	1268.67	P	0.01	1022.07	P	0.04
37096_at	64.67	A	0.82	100.84	A	0.6	22.81	A	0.78	41.43	A	0.77	3769.72	P	0	4436.69	P	0	92.58	A	0.62	36.78	A	0.8
37097_at	101.88	A	0.54	88.6	A	0.14	200.16	A	0.12	100.56	A	0.18	195.73	A	0.23	206.92	A	0.08	215.21	A	0.25	288.85	A	0.07
37098_at	161.98	A	0.32	374.26	A	0.06	214.63	A	0.34	151.79	A	0.32	1021.51	P	0	892.64	P	0	172.76	A	0.54	311.33	A	0.38
37099_at	201.86	A	0.27	155.84	A	0.08	47.74	A	0.75	70.51	A	0.46	419.49	A	0.07	609.2	P	0.03	148.64	A	0.46	222.62	A	0.44
371_at	621.61	A	0.25	688.62	A	0.18	402.7	A	0.42	314.35	A	0.38	635.6	A	0.32	552.57	A	0.34	225.66	A	0.56	613.19	A	0.36
37100_at	455.83	A	0.07	582.57	P	0	393.11	A	0.16	357.84	A	0.16	112.17	A	0.82	111.88	A	0.64	278.06	A	0.72	628.27	A	0.38
37101_at	621.8	P	0	600.4	P	0	614.82	P	0.01	564.25	P	0.01	1284.03	P	0	1247.91	P	0	1325.81	P	0.01	1343.5	P	0.01
37102_at	95.11	A	0.73	114.36	A	0.48	48.8	A	0.48	43.86	A	0.78	65.76	A	0.8	45.27	A	0.8	53.89	A	0.72	53.78	A	0.78
37103_at	91.98	A	0.54	227.06	M	0.05	317.91	P	0.04	254.63	M	0.04	40.91	A	0.73	8.41	A	0.84	11.59	A	0.96	25.82	A	0.89
37104_at	43.05	A	0.94	20.58	A	0.82	41.17	A	0.72	45.12	A	0.88	201.64	A	0.19	171.35	A	0.1	32.13	A	0.93	55.87	A	0.9
37105_at	139.12	A	0.36	143.58	A	0.23	156.87	A	0.36	131.14	A	0.22	2382.44	P	0	2576.66	P	0	47.71	A	0.86	49.48	A	0.64
37106_at	13.12	A	0.87	48.45	A	0.46	174.8	P	0.02	203.68	P	0.01	9.02	A	0.99	8.1	A	0.94	11.57	A	0.96	12.27	A	0.93
37107_at	143.91	P	0.02	160.42	P	0	320.14	P	0	212.36	P	0.01	196.77	P	0.02	215.64	P	0	110.56	A	0.2	204.75	A	0.06
37108_at	12.65	A	1	8.72	A	0.99	26.74	A	0.86	11.82	A	0.96	30.61	A	0.9	17.62	A	0.78	20.22	A	0.98	22.69	A	0.93
37109_at	170.95	A	0.25	69.71	A	0.4	134.61	A	0.28	159.82	A	0.3	756.53	P	0.01	937.6	P	0.01	915.21	P	0.01	701.5	P	0.02
37110_at	72.82	A	0.56	9.72	A	0.75	31.14	A	0.48	13.28	A	0.6	33.35	A	0.56	47.44	A	0.36	32.86	A	0.8	28.87	A	0.64
37111_g_at	246.73	A	0.07	141.37	P	0.04	280.84	P	0.01	270.59	P	0	322.08	A	0.07	188.58	P	0.02	248.73	A	0.07	246.77	A	0.16
37112_at	91.43	A	0.06	90.21	P	0	271.95	P	0	257.12	P	0	70.8	A	0.14	50.99	M	0.05	19.04	A	0.62	55.2	A	0.11
37113_at	378.78	A	0.52	297.61	A	0.42	115.97	A	0.58	344.2	A	0.5	151.73	A	0.5	186.83	A	0.5	78.35	A	0.8	68.31	A	0.86
37114_at	101.66	A	0.87	258.88	A	0.36	44.67	A	0.9	55.75	A	0.7	62.04	A	0.88	37.51	A	0.92	50.43	A	0.97	70.97	A	0.98
37115_at	73.02	A	0.06	43.78	P	0.04	59.14	A	0.27	113.81	P	0.02	26.13	A	0.42	38.16	A	0.3	15.43	A	0.64	23.56	A	0.52
37116_at	28.15	A	0.82	21.11	A	0.72	105.3	A	0.54	38.78	A	0.56	70.03	A	0.62	30.66	A	0.58	41.31	A	0.73	21.16	A	0.86
37117_at	113.05	A	0.34	43.72	A	0.22	241.35	M	0.04	167.46	P	0.02	58.26	A	0.46	115.67	A	0.3	185.78	A	0.11	144.8	A	0.3
37118_at	178.33	P	0.04	185.05	P	0.01	252.38	P	0.01	438.22	P	0	14.84	A	0.96	11.08	A	0.72	8.05	A	0.96	5.02	A	0.99
37119_at	189.83	A	0.13	121.52	A	0.18	225.81	A	0.1	146.8	A	0.07	40.7	A	0.58	133.48	A	0.11	63.11	A	0.58	72.71	A	0.36
37120_at	49.4	A	0.78	64.46	A	0.5	101.17	A	0.3	63.36	A	0.27	164.13	A	0.54	21.96	A	0.54	98.86	A	0.46	177.1	A	0.28
37121_at	111.92	A	0.54	48.35	A	0.52	73.88	A	0.66	39.69	A	0.82	921.98	A	0.12	843.22	A	0.16	1025.59	A	0.12	741.87	A	0.34
37122_at	198.16	A	0.09	199.88	A	0.07	153.94	A	0.36	38.37	A	0.66	542.91	P	0.04	467.67	P	0.01	353.04	A	0.07	515.25	A	0.06
37123_at	60.93	A	0.5	137.57	A	0.07	52.11	A	0.44	36.35	A	0.46	130.81	A	0.56	56.47	A	0.44	58.79	A	0.72	62.68	A	0.7
37124_i_at	13.36	A	0.93	10.59	A	0.8	16.23	A	0.86	12.63	A	0.92	34.66	A	0.83	112.81	A	0.28	127.06	A	0.46	131.15	A	0.41
37125_f_at	10.9	A	1	5.89	A	0.99	12.52	A	0.99	7.02	A	1	235.67	A	0.08	363.36	P	0	407.81	P	0.02	294.42	A	0.18
37126_at	43.81	A	0.66	105.88	A	0.13	114.25	A	0.42	68.62	A	0.44	174.21	A	0.3	172.66	A	0.27	112.7	A	0.34	94.07	A	0.54
37127_at	18.57	A	0.99	14.09	A	0.87	23.23	A	0.97	17.66	A	0.94	46.8	A	0.87	26.26	A	0.87	23.73	A	0.87	54.71	A	0.8
37128_at	36.12	A	0.86	20.13	A	0.88	36.14	A	0.62	26.1	A	0.72	48.98	A	0.68	37.05	A	0.75	31.27	A	0.87	43.34	A	0.8
37129_at	180.83	A	0.07	132.85	P	0.03	354.14	P	0.03	241.99	A	0.06	224.2	A	0.14	139.59	P	0.04	165.12	A	0.08	330.39	A	0.06
37130_g_at	158.72	M	0.05	194.66	M	0.04	281.85	P	0.03	270.3	A	0.07	408.39	M	0.05	247.6	M	0.04	98.6	A	0.22	401.66	A	0.15
37131_at	84.28	A	0.58	58.57	A	0.73	255.26	A	0.46	105.37	A	0.6	89.21	A	0.66	78.63	A	0.68	179.15	A	0.68	459.35	A	0.34
37132_at	18.8	A	0.62	14.38	A	0.54	56.15	A	0.66	61.2	A	0.32	23.21	A	0.77	68.94	A	0.44	30.24	A	0.8	54.91	A	0.66
37133_at	349.94	A	0.19	372.27	M	0.05	375.64	A	0.14	325.67	A	0.18	545.64	A	0.22	198.97	A	0.38	938.54	A	0.15	924.27	A	0.12
37134_f_at	2371.71	P	0.01	3063.92	P	0	1497.93	P	0.01	1359.22	P	0.04	310.1	A	0.72	170.08	A	0.59	91.23	A	0.93	71.23	A	0.93
37135_f_at	2802.21	P	0	3539.56	P	0	1841.57	P	0	1599.6	P	0.02	221.53	A	0.52	171.65	A	0.6	134.08	A	0.8	87.62	A	0.86
37136_at	395.52	A	0.32	457.78	A	0.22	651.21	A	0.1	877.5	A	0.11	85.62	A	0.8	71.1	A	0.72	70.5	A	0.91	55.94	A	0.93
37137_at	149.56	M	0.04	21.57	A	0.36	141.64	A	0.16	10.01	A	0.4	15.54	A	0.38	108.62	A	0.15	129.32	A	0.13	153.13	A	0.19
37138_at	88.49	A	0.93	64.23	A	0.78	142.41	A	0.66	319.11	A	0.48	107.36	A	0.92	68.35	A	0.85	132.85	A	0.88	141.38	A	0.88
37139_at	52.42	A	0.68	95.69	A	0.42	59.03	A	0.52	51.99	A	0.58	173.87	A	0.44	138.36	A	0.42	61.76	A	0.66	318.09	A	0.38
37140_s_at	880.97	A	0.32	697.45	A	0.13	765.06	A	0.08	824.78	A	0.16	619.23	A	0.23	972.04	A	0.19	819.68	A	0.22	1096.23	A	0.27
37141_at	6.55	A	0.98	1.2	A	0.93	6.74	A	0.98	5.77	A	0.95	151.48	P	0.03	206.45	P	0	168.27	P	0.02	171.79	P	0.03
37142_at	29.53	A	0.7	23.32	A	0.28	6.18	A	0.82	2.39	A	0.87	31.72	A	0.72	25.16	A	0.62	9.19	A	0.77	19.23	A	0.68
